,GEOID10,excelCountyName,excelVTDId
1571,37125EUR,Moore,EUR
1572,37125PDN,Moore,PDN
1573,37125KWD,Moore,KWD
1574,37125EWD,Moore,EWD
1575,37125NSP,Moore,NSP
1576,3700904,Ashe,04
1577,3700916,Ashe,16
1578,3700913,Ashe,13
1579,3700914,Ashe,14
1580,3700920,Ashe,20
1581,3700909,Ashe,09
1582,3700915,Ashe,15
1583,3700912,Ashe,12
1584,3700903,Ashe,03
1585,3700910,Ashe,10
1586,3700902,Ashe,02
1587,3700911,Ashe,11
1588,3700917,Ashe,17
1589,3700907,Ashe,07
1590,3700906,Ashe,06
1591,3700918,Ashe,18
1592,3700908,Ashe,08
1593,3712101,Mitchell,01
1594,3712104,Mitchell,04
1595,3712106,Mitchell,06
1596,3712107,Mitchell,07
1597,3712105,Mitchell,05
1598,3712103,Mitchell,03
1599,3712109,Mitchell,09
1600,3712108,Mitchell,08
1601,3712102,Mitchell,02
1602,3715305,Richmond,05
1603,3715309,Richmond,09
1604,3715314,Richmond,14
1605,3715304,Richmond,04
1606,3715301,Richmond,01
1607,3715308,Richmond,08
1608,3715316,Richmond,16
1609,3715302,Richmond,02
1610,3715313,Richmond,13
1611,3715315,Richmond,15
1612,3715312,Richmond,12
1613,3715311,Richmond,11
1614,3715310,Richmond,10
1615,3715307,Richmond,07
1616,3715306,Richmond,06
1617,3715303,Richmond,03
1618,37131LAKE-G,Northampton,LAKE-G
1619,37131GASTON,Northampton,GASTON
1620,37131SEABOA,Northampton,SEABOA
1621,37131RICH-S,Northampton,RICH-S
1622,37131SEVERN,Northampton,SEVERN
1623,37131PLEASA,Northampton,PLEASA
1624,37131GARYSB,Northampton,GARYSB
1625,37131GALATI,Northampton,GALATI
1626,37131NEWTOW,Northampton,NEWTOW
1627,37131PENDLE,Northampton,PENDLE
1628,37131WOODLA,Northampton,WOODLA
1629,3705702,Davidson,02
1630,3705750,Davidson,50
1631,3705710,Davidson,10
1632,3705748,Davidson,48
1633,3705760,Davidson,60
1634,3705752,Davidson,52
1635,3705740,Davidson,40
1636,3705728,Davidson,28
1637,3705770,Davidson,70
1638,3705776,Davidson,76
1639,3705780,Davidson,80
1640,3705768,Davidson,68
1641,3705772,Davidson,72
1642,3705722,Davidson,22
1643,3705774,Davidson,74
1644,37131JACKSO,Northampton,JACKSO
1645,37131CREEKS,Northampton,CREEKS
1646,37131REHOBE,Northampton,REHOBE
1647,37131CONWAY,Northampton,CONWAY
1648,37131LASKER,Northampton,LASKER
1649,3705736,Davidson,36
1650,3705716,Davidson,16
1651,3705726,Davidson,26
1652,3705704,Davidson,04
1653,3705782,Davidson,82
1654,3705724,Davidson,24
1655,3705730,Davidson,30
1656,3705766,Davidson,66
1657,3705712,Davidson,12
1658,3705754,Davidson,54
1659,3705746,Davidson,46
1660,3705758,Davidson,58
1661,3705708,Davidson,08
1662,3705734,Davidson,34
1663,3705742,Davidson,42
1664,3705720,Davidson,20
1665,3705718,Davidson,18
1666,3705784,Davidson,84
1667,3705778,Davidson,78
1668,3705706,Davidson,06
1669,3705744,Davidson,44
1670,3705762,Davidson,62
1671,3705732,Davidson,32
1672,3705756,Davidson,56
1673,37131MILWAU,Northampton,MILWAU
1674,3705764,Davidson,64
1675,3705738,Davidson,38
1676,3705714,Davidson,14
1677,37131POTECA,Northampton,POTECA
1678,37103P01,Jones,P01
1679,37103P02,Jones,P02
1680,37103P04,Jones,P04
1681,37103P07,Jones,P07
1682,37103P05,Jones,P05
1683,37103P03,Jones,P03
1684,37103P06,Jones,P06
1685,37003B1,Alexander,B1
1686,37003B2,Alexander,B2
1687,37003E,Alexander,E
1688,37003G1,Alexander,G1
1689,37003G2,Alexander,G2
1690,37003L,Alexander,L
1691,37003M,Alexander,M
1692,37003S1,Alexander,S1
1693,37003S2,Alexander,S2
1694,37003SL,Alexander,SL
1695,37003T1,Alexander,T1
1696,37003T2,Alexander,T2
1697,37003T3,Alexander,T3
1698,37003T4,Alexander,T4
1699,37003T5,Alexander,T5
1700,37003W,Alexander,W
1701,37097CC1,Iredell,CC1
1702,37097FT,Iredell,FT
1703,37119208,Mecklenburg,208
1704,37119127,Mecklenburg,127
1705,37097BE,Iredell,BE
1706,37097OL,Iredell,OL
1707,37097SB,Iredell,SB
1708,37097TB,Iredell,TB
1709,37097DV2-B,Iredell,DV2-B
1710,37097EM,Iredell,EM
1711,37097CD,Iredell,CD
1712,37097UG,Iredell,UG
1713,37091WN,Hertford,WN
1714,37091CM,Hertford,CM
1715,37091CO,Hertford,CO
1716,37091UN,Hertford,UN
1717,37091M2,Hertford,M2
1718,37091BR,Hertford,BR
1719,37091M1,Hertford,M1
1720,37091A1,Hertford,A1
1721,37091HV,Hertford,HV
1722,37091A2,Hertford,A2
1723,37091A3,Hertford,A3
1724,37091SJ,Hertford,SJ
1725,37097NH,Iredell,NH
1726,37097CH-B,Iredell,CH-B
1727,37097ST4,Iredell,ST4
1728,37091ML,Hertford,ML
1729,37097SH-B,Iredell,SH-B
1730,37097ST3,Iredell,ST3
1731,37097ST6,Iredell,ST6
1732,37097ST1,Iredell,ST1
1733,37097ST5,Iredell,ST5
1734,37097SH-A,Iredell,SH-A
1735,37097ST2,Iredell,ST2
1736,37097DV2-A,Iredell,DV2-A
1737,37097DV1-B,Iredell,DV1-B
1738,37097CC4,Iredell,CC4
1739,37097CC2,Iredell,CC2
1740,37097DV1-A,Iredell,DV1-A
1741,37097CH-A,Iredell,CH-A
1742,3707102,Gaston,02
1743,3707108,Gaston,08
1744,3707123,Gaston,23
1745,3707116,Gaston,16
1746,3707120,Gaston,20
1747,3707125,Gaston,25
1748,3707117,Gaston,17
1749,3707146,Gaston,46
1750,3707130,Gaston,30
1751,3707107,Gaston,07
1752,3707105,Gaston,05
1753,3707121,Gaston,21
1754,3707112,Gaston,12
1755,3707137,Gaston,37
1756,3707126,Gaston,26
1757,370650701,Edgecombe,0701
1758,370650101,Edgecombe,0101
1759,370650601,Edgecombe,0601
1760,370651204,Edgecombe,1204
1761,3707134,Gaston,34
1762,3707114,Gaston,14
1763,3707118,Gaston,18
1764,3707145,Gaston,45
1765,3707110,Gaston,10
1766,3707138,Gaston,38
1767,3707142,Gaston,42
1768,3707115,Gaston,15
1769,3707139,Gaston,39
1770,3707122,Gaston,22
1771,3707106,Gaston,06
1772,3707132,Gaston,32
1773,3707133,Gaston,33
