,low,high,length
639,37017P75,37017P55,4274.69494205
640,37017P75,37047P17,35767.220978
641,37017P75,37047P16,18683.4158018
642,37017P60,37017P80,35522.8304952
643,37017P60,37017P15,28521.1589712
644,37017P60,3715532,8101.41933634
645,37017P60,3715531,11285.0824066
646,37017P60,3715508,24800.4016322
647,37017P60,3715509,8367.93241389
648,37017P60,37051G6,0.0
649,37017P60,37051AL51,27617.3220765
650,37017P45,37017P70,31035.5617921
651,37017P45,37017P65,10607.7031602
652,37017P45,37163LAKE,6501.16390537
653,37017P45,37163GARL,57496.4262489
654,37017P80,37017P70,12385.9019762
655,37017P80,37017P15,18826.8501895
656,37017P80,37017P35,13086.6846431
657,37017P80,37051G6,67971.5543176
658,37017P80,37051AL51,0.0
659,37017P70,37017P35,20100.217225
660,37017P70,37163LAKE,3300.00896242
661,37017P70,37051G6,52902.8733337
662,37017P15,37017P35,14386.2338501
663,37017P15,37017P501,24656.1572477
664,37017P15,3715541,6066.25229145
665,37017P15,3715508,19845.7937836
666,37017P35,37017P501,19744.9247822
667,37017P35,37017P502,16146.8952873
668,37017P501,37017P502,15444.7869885
669,37017P65,37017P55,51309.5728173
670,37017P65,37163GARL,24723.0949869
671,37017P65,37163HARR,95697.841708
672,37017P65,37141CS04,25346.5446906
673,37017P55,37047P14,0.0
674,37017P55,37141CS04,37981.7716997
675,37017P55,37141CT03,20423.1365793
676,37087BC,37087IH,20982.3363005
677,37087BC,37087JC,23056.9547713
678,37087BC,37087WO,16137.5345562
679,37087BC,37087FC-1,50352.8603891
680,37087BC,37173WHCH,66605.2179305
681,37087CL-N,37087ID,0.0
682,37087CL-N,37087BE-2,9107.58608867
683,37087CL-N,37087LJ,6083.62961797
684,37087CL-N,37087BE-1,1287.48213231
685,37087CL-N,37087CL-S,26391.5025659
686,37087CL-N,37087CR,19554.2978274
687,37087IH,37087JC,42899.9311546
688,37087IH,37087WS-1,22978.21159
689,37087IH,37087WW,16024.2734087
690,37087IH,37087LJ,4574.47054253
691,37087IH,37087SA,7778.02291462
692,37087IH,37099ALLSC,10380.8694937
693,37087IH,37099QUA,22596.3070527
694,37087IH,37173WHCH,13594.7212228
695,37087ID,37087JC,15202.7702721
696,37087ID,37087WO,941.204418786
697,37087ID,37087LJ,12891.7214554
698,37087ID,37087CR,35658.1002846
699,37087BE-2,37087BE-1,12986.1540063
700,37087BE-2,37087BE-3,23901.6714626
701,37087BE-2,37087CR,14847.4626135
702,37087JC,37087WO,15730.6344631
703,37087JC,37087LJ,4074.14898269
704,37087WS-2,37087WS-1,3477.16673444
705,37087WS-2,37087AC,19977.5909421
706,37087WS-2,37087P,679.419148648
707,37087WS-2,37087WE,13535.5585395
708,37087WS-2,37087CE,4851.22353951
709,37087WS-2,37087HA,1607.87403735
710,37087WS-2,37087WC,5491.48408402
711,37087WS-1,37087WW,14354.9434414
712,37087WS-1,37087HA,9204.94754519
713,37087WS-1,37087SA,25674.6002091
714,37087WS-1,37087WC,3002.19266321
715,37087WO,37087FC-1,22735.8808675
716,37087WO,37087CR,314.275510093
717,37087WO,37087FC-2,11094.589634
718,37087WW,37087LJ,8103.58967272
719,37087WW,37087WE,4918.84155376
720,37087WW,37087WC,4615.04072255
721,37087LJ,37087CL-S,3264.572222
722,37087LJ,37087WE,8087.64411475
723,37087LJ,37087CR,0.0
724,37087AC,37087CE,19496.5472438
725,37087AC,37087HA,6332.66991944
726,37087AC,37087SA,31863.1976
727,37087AC,37099CFK,13775.2780192
728,37087AC,37099ALLSC,7983.38312172
729,37087PC,37087BE-1,3421.67912505
730,37087PC,37087P,14251.5946547
731,37087PC,37087EF,15469.8457897
732,37087PC,37087BE56,5040.60643085
733,37087PC,37087BE-7,12196.3669653
734,37087BE-1,37087P,10552.3410478
735,37087BE-1,37087CL-S,12723.4344189
736,37087BE-1,37087BE56,9348.23131048
737,37087BE-1,37087BE-3,1325.71147329
738,37087P,37087EF,9676.42737862
739,37087P,37087CL-S,9889.99090952
740,37087P,37087WE,12012.41705
741,37087P,37087CE,28159.3793164
742,37087FC-1,37087CR,24307.5278183
743,37087FC-1,37087FC-2,17086.2369293
744,37087FC-1,37115SPRING,47959.970803
