,lo,hi,length
739,420036000,420035880,1171.38365281
740,420036000,420035920,1436.0397643
741,420036000,420035940,5155.09709241
742,420036000,420035970,1472.6281663
743,420036000,420035980,812.167637442
744,420036020,420035880,1563.05812687
745,420036020,420035960,1622.85506761
746,420036020,420035970,912.172640471
747,420036090,420036110,739.572456943
748,420036090,420036130,2847.58897961
749,420036090,420036150,0.0
750,420036090,420036410,1435.94243899
751,420036090,420036420,2262.98546285
752,420036090,420036740,1631.06318358
753,420036090,420036760,567.558303271
754,420036090,420035880,927.438161617
755,420036090,42003A230,4031.54137946
756,420036090,42003A540,0.0
757,420036110,420036170,1953.25092898
758,420036110,420036390,1093.49739925
759,420036110,420036400,1782.84828912
760,420036110,420036420,1651.21003414
761,420036110,42003A230,1649.82578687
762,420036110,42003A250,524.842829161
763,420036130,420036150,594.852375526
764,420036130,420036410,269.369050084
765,420036130,420036760,3122.09306015
766,420036130,420036780,86.8373595354
767,420038910,420038930,1465.51534133
768,420038910,420038950,587.964074456
769,420038910,420038990,292.890660119
770,420038930,420038990,326.406979426
771,420038930,420039010,397.612823006
772,420038930,420039370,145.100511335
773,420038930,42003H111,493.846166425
774,420038950,420038970,919.384019096
775,420038950,420038990,603.123826552
776,420038950,420039030,1068.70781553
777,420038950,420035430,2779.66001385
778,420038970,420038990,1970.72282309
779,420038970,420039010,211.101253495
780,420038970,420039030,1405.59702024
781,420038970,420039050,665.231468876
782,420038970,420039090,304.271126138
783,420038970,42003H121,699.050282555
784,420038990,420039010,2016.44665364
785,420039010,42003H111,673.283525641
786,420039010,42003H121,3793.37638679
787,420039030,420039050,1709.76857262
788,420039030,420035430,4048.46769224
789,420039050,420039070,912.322077575
790,420039050,420039090,1069.41342276
791,420039050,420035430,4362.00124218
792,420039070,420039080,1293.40235122
793,420039070,420039090,877.433452744
794,420039070,420035420,788.239735004
795,420039070,420035430,228.326705055
796,420039070,420035450,962.908255013
797,420039070,420035460,2813.91784832
798,42003B410,42003B600,1240.57892493
799,42003B410,42003A910,444.980761453
800,42003B410,42003A930,1556.17524338
801,42003B410,42003A950,1147.67808463
802,42003B410,42003B010,2633.88503457
803,42003B430,42003B450,2663.18229732
804,42003B430,42003140,1628.47373576
805,42003B450,42003D970,625.617209271
806,42003B450,42003B530,1616.19822895
807,42003B450,42003140,2101.28193894
808,42003B470,42003B480,385.944413992
809,42003B470,42003B490,5388.29173728
810,42003B470,42003D890,1918.75936238
811,42003B470,42003D910,1542.98897993
812,42003B470,42003D950,816.217501556
813,42003B470,42003B540,244.558840847
