,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330039559002080,77269.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7861.56674178
0,330039559002103,1051.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,456.209092071
0,330039559002002,155269.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13555.5404055
0,330039559003082,17089.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1582.0104764
0,330039559003051,14850.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1458.7866531
0,330039559003055,6041.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,927.396198477
0,330039559003190,1722.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,374.222331148
0,330039559001010,12955.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,1489.85051116
0,330039559001017,35781.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6645.43697787
0,330039559003022,0.0,49575.0,0,0,0,0,0,0,0,0,0,0,0,0,2713.06768467
0,330039556002093,83095.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4902.39823554
0,330039556002133,0.0,26542.0,0,0,0,0,0,0,0,0,0,0,0,0,11371.8759463
0,330039556001131,1480.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,610.137488666
0,330039556001141,564640.0,0.0,5,2,3,5,5,0,0,0,0,0,0,0,12466.1921896
0,330039556001075,3766.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1225.72169404
0,330039556001280,1427.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,402.375794294
0,330039556002007,1733.0,0.0,3,1,2,3,3,0,0,0,0,0,0,0,499.856625121
0,330039556001133,5352.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,844.907946783
0,330039556001086,76126.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4442.34070913
0,330039556002113,51516.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3820.07667818
0,330039556002101,1292.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,704.224092433
0,330039556002045,980.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,419.040991906
0,330039556002097,43192.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4639.3494021
0,330039560003025,49773.0,0.0,8,4,4,8,8,0,0,0,0,0,0,0,3907.80690402
0,330039560004037,1293.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,755.681764629
0,330039560002002,11518.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1367.12524837
0,330039560003009,180652.0,0.0,23,12,11,23,22,0,1,0,0,0,0,0,4582.43626686
0,330039560003041,68778.0,0.0,42,23,19,42,42,0,0,0,0,0,0,6,3842.36057546
0,330039560003079,136692.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4308.62549309
0,330039560003168,11563.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1330.78767881
0,330039560003110,15682.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1896.31823761
0,330039560003160,175743.0,0.0,24,11,13,24,24,0,0,0,0,0,0,0,14169.5726916
0,330039560003053,14970.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2866.25474987
0,330039560003026,108568.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5062.50799328
